id,city_name,content,nick_name,score
281,长春,复联，我们的超级英雄。是要下架了吗？大写的心痛！,球球,5.0
282,唐山,太好看了，特效太炫了，剧情跌宕起伏，既有搞笑也有感人，全程真无尿点(づ ●─● )づ,Elite,5.0
283,广州,比海王差远了,梦里是谁,1.5
284,南昌,此时此刻，我们在影院傻等彩蛋,卍,5.0
285,广州,我的洛基呢？我记得他跑了，哈哈,zqw,5.0
286,东莞,1般般，很闷的电影，看了一半出来了,zyb852096,1.5
287,高州,谢幕一役，必须完美！！！！,肖然心动,5.0
288,绵竹,虐心，永恒的钢铁侠再也回不来了,淡淡稻花,5.0
289,衡阳,好看到爆炸！！！！！,五灵威力缠身,5.0
290,三亚,钢铁侠消失了 难过,鑫磊小同学,5.0
291,绍兴,太疯狂了，电影史上的奇迹。复4对漫威迷来说是个圆满的结果。一步步的看着漫威的电影，老美的电影还是胜人一筹。整整10年，漫威用22部电影陪伴了我们。,UDq229153933,5.0
292,合肥,满满的笑点，满满的回忆，这是一部史诗级的电影，是一部会超越阿凡达的世界票房冠军🏆,演绎G人生,5.0
293,怀仁市,3个小时，真值啊！哈哈哈！为了看4，又把123看了一遍！,华夏荣耀,5.0
294,广州,本来定好票说来的，结果还有半个小时就开场给放飞机了，放就算了，还不说我还是自己问她来了没有，结果说不来了。后来把票送给别人了，然后回家睡觉了。对着电影有阴影。。。,aaA531932843,3.5
295,顺德,灭霸死了吗？,柏尼电子锯「佘潇」13074279871,5.0
296,合肥,已看了了了了,fAV716887683,5.0
297,宿迁,满意 很好 以后不会再看漫威了。ok就这样,Melody,5.0
298,清远,希望我看完后，不用改！漫威迷们，冲啊！,LISAHOPE,5.0
299,连云港,初代英雄的完美落幕～看到泪奔,苹果脸小妞,5.0
300,开州区,怎么说呢，不能改签是什么鬼*,不该,5.0
301,天津,不好看、剧情不行,天津新潮标牌文具18822100505,0.5
302,盐城,这个满星是给灭霸的，因为5月1日是灭霸的头七,啾啾啾,5.0
303,湖州,铁男和寡姐牺牲了。,Lancer,5.0
304,大连,憋尿之战，来挑战,a  o  w,4.5
305,海宁,太啰嗦不好看,ZOZ524895106,0.0
306,绵竹,好看好看好看,雨殇晨寒枫,5.0
307,成都,太难看了，三个小时的电影，只有十分钟的打斗场面。太失望了😞 ,宿命。,0.5
308,合肥,"剧透***啊

",🔵🔵🔵🔵🔵,5.0
309,昆山,唉，钢铁侠死了，美队老了,曜世星辰,4.5
310,南京,真的太好看了，嗯，特别精彩，小小的剧透一下，灭霸败了,fMX73717017,5.0
311,上海,哎还行吧 唯一的遗憾钢铁侠黑寡妇牺牲了,pFa424141394,4.0
312,西安,非常棒  很好看,A奶瓶650,5.0
313,成都,超级爱漫威😊 😊 😊 ,王志成(志霞厨房设备)13540128882,5.0
314,淮安,喊美女睡觉的专用时间点,要吃肉的小李,4.0
315,佛山,超级值得！！,野猪猪猪猪,5.0
