,name,category,note,author,url,downloads,votes,comments
117,Can I Jailbreak？,效率,一键查询IOS系统越狱状态，并可以直接到官网下载越狱工具,Rätsel der unsterblichen😎,https://www.icloud.com/shortcuts/45fc5a33917744069b3f3a2e1582f9ee,3241,39,17
118,生活助手,生活,【求赞】公交码，地铁码，地铁wifi，滴滴打车，饿了么....等等许多日常功能，一键直达。,大先生,https://www.icloud.com/shortcuts/a93b672055004777888f4a2896f3cff2,2608,39,3
119,车来啦实时公交,生活,基于「车来了」实时公交 API，显示附近车站、经过线路与下一班车的时间 🚗,Spencer Woo,https://www.icloud.com/shortcuts/42ffa4fe1f104a8fb102d25cff737206,6770,39,27
120,快递查询,生活,查询国内常见快递的物流信息,24Says,https://www.icloud.com/shortcuts/d35b46601df4476c8fd16b870f2c8265,7462,39,6
121,一键下载App Store首页故事原图,工具,额，就是能一次下载 appstore 首页推荐文章中的所有图片。,不郑,https://www.icloud.com/shortcuts/03e27c180da84ac08ec7d9c850691010,2872,38,25
122,批量领哈啰助力车骑行券,效率,批量领哈啰助力车骑行券，薅羊毛系列,清风不识字,https://www.icloud.com/shortcuts/5e1a1315354d4144b182861c9b3e5e84,3481,37,13
123,iPhone隐藏功能,工具,真的既快捷又实用，不要再把你的手机用成老人机啦～,小悟空,https://www.icloud.com/shortcuts/c2405fa355e7400285a7a0fbf5ab155b,7332,37,15
124,Instagram 全类型下载,工具,Instagram 全类型下载，使用 Instagram 接口下载，非正则表达式。,tesths,https://www.icloud.com/shortcuts/9604bdda2e024712b382ff62aebbb2d1,5546,37,10
125,Share Wi-Fi QR,效率,"分享 Wi-Fi 二维码。
用于快速分享已连接的无线网络，扫码即可连接。",ᴍʀ.ᴢʜᴀᴏ,https://www.icloud.com/shortcuts/62f570cbd39449a8947c5bfe914e0879,4218,37,1
126,高清影视种子,娱乐,,𝙆𝙖𝙩,https://www.icloud.com/shortcuts/1a72f1b46c144cd78e680e943f515c08,3987,36,0
127,王者荣耀改重复名,娱乐,「提示：请自备改名卡」这个可以帮你生成一个王者荣耀不重复昵称,小悟空,https://www.icloud.com/shortcuts/c0a1db88ccc54abfb495fe2409e6c470,3682,35,13
